CD20,*,*,*,名詞,固有名詞,一般,*,*,*,CD20,シーディーニジュウ,*
CDX-2,*,*,*,名詞,固有名詞,一般,*,*,*,CDX-2,シーディーエックスツー,*
MIB-1,*,*,*,名詞,固有名詞,一般,*,*,*,MIB-1,ミブワン,*
CAM5.2,*,*,*,名詞,固有名詞,一般,*,*,*,CAM5.2,カムゴーテンニ,*
AE1/AE3,*,*,*,名詞,固有名詞,一般,*,*,*,AE1/AE3,エーイーワンエーイースリー,*
AE1/3,*,*,*,名詞,固有名詞,一般,*,*,*,AE1/3,エーイーワンスリー,*
CK7,*,*,*,名詞,固有名詞,一般,*,*,*,CK7,シーケーナナ,*
CK20,*,*,*,名詞,固有名詞,一般,*,*,*,CK7,シーケーニジュウ,*
D2-40,*,*,*,名詞,固有名詞,一般,*,*,*,D2-40,ディーツーフォーティ,*
p40,*,*,*,名詞,固有名詞,一般,*,*,*,p40,ピーヨンジュウ,*
p63,*,*,*,名詞,固有名詞,一般,*,*,*,p63,ピーロクジュウサン,*
CEA,*,*,*,名詞,固有名詞,一般,*,*,*,CEA,シーイーエー,*
EMA,*,*,*,名詞,固有名詞,一般,*,*,*,EMA,イーエムエー,*
HE,*,*,*,名詞,一般,*,*,*,*,HE,エイチイー,*
EVG,*,*,*,名詞,一般,*,*,*,*,EVG,イーブイジー,*
PAS,*,*,*,名詞,一般,*,*,*,*,PAS,パス,*
錯角化,*,*,*,名詞,一般,*,*,*,*,錯角化,サクカクカ,*
角化,*,*,*,名詞,一般,*,*,*,*,角化,カクカ,*
胞体,*,*,*,名詞,一般,*,*,*,*,胞体,ホウタイ,*
侵襲,*,*,*,名詞,一般,*,*,*,*,侵襲,シンシュウ,*
胞巣,*,*,*,名詞,一般,*,*,*,*,胞巣,ホウソウ,*
クロマチン,*,*,*,名詞,一般,*,*,*,*,クロマチン,クロマチン,*
neoplasia,*,*,*,名詞,一般,*,*,*,*,neoplasia,ネオプラジア,*
invasive,*,*,*,名詞,一般,*,*,*,*,invasive,インベイシブ,*
挫滅,*,*,*,名詞,一般,*,*,*,*,挫滅,ザメツ,*
膵管,*,*,*,名詞,一般,*,*,*,*,膵管,スイカン,*
膵癌,*,*,*,名詞,一般,*,*,*,*,膵癌,スイガン,*
摘除,*,*,*,名詞,一般,*,*,*,*,摘除,テキジョ,*
Gleason,*,*,*,名詞,固有名詞,一般,*,*,*,Gleason,グリーソン,*
軟部,*,*,*,名詞,一般,*,*,*,*,軟部,なんぶ,*
adenocarcinoma,*,*,*,名詞,一般,*,*,*,*,adenocarcinoma,アデノカルチノーマ,*
漿膜,*,*,*,名詞,一般,*,*,*,*,漿膜,ショウマク,*
Barrett,*,*,*,名詞,固有名詞,一般,*,*,*,Barrett,バレット,*
バレット,*,*,*,名詞,固有名詞,一般,*,*,*,バレット,バレット,*
フィブリン,*,*,*,名詞,一般,*,*,*,*,フィブリン,フィブリン,*
閉胸,*,*,*,名詞,一般,*,*,*,*,閉胸,ヘイキョウ,*
センチネル,*,*,*,名詞,一般,*,*,*,*,センチネル,センチネル,*
GIST,*,*,*,名詞,一般,*,*,*,*,GIST,ジスト,*
Atypia,*,*,*,名詞,一般,*,*,*,*,Atypia,アティピア,*
atypia,*,*,*,名詞,一般,*,*,*,*,atypia,アティピア,*
Mitosis,*,*,*,名詞,一般,*,*,*,*,Mitosis,マイトーシス,*
mitosis,*,*,*,名詞,一般,*,*,*,*,mitosis,マイトーシス,*
HPF,*,*,*,名詞,一般,*,*,*,*,HPF,ハイパワーフィールド,*
UICC,*,*,*,名詞,固有名詞,一般,*,*,*,UICC,ユーアイシーシー,*
Fixation,*,*,*,名詞,一般,*,*,*,*,Fixation,フィキゼーション,*
Formalin,*,*,*,名詞,一般,*,*,*,*,Formalin,ホルマリン,*
formalin,*,*,*,名詞,一般,*,*,*,*,formalin,ホルマリン,*
hours,*,*,*,名詞,一般,*,*,*,*,hours,アワーズ,*
index,*,*,*,名詞,一般,*,*,*,*,index,インデックス,*
SLN,*,*,*,名詞,一般,*,*,*,*,SLN,センチネルリンフノード,*
集簇,*,*,*,名詞,一般,*,*,*,*,集簇,シュウゾク,*
EBV,*,*,*,名詞,固有名詞,一般,*,*,*,EBV,イービーブイ,*
EBER,*,*,*,名詞,固有名詞,一般,*,*,*,EBER,イーバー,*
脂肪織,*,*,*,名詞,一般,*,*,*,*,脂肪織,シボウシキ,*
MALT,*,*,*,名詞,一般,*,*,*,*,MALT,マルト,*
濾胞,*,*,*,名詞,一般,*,*,*,*,濾胞,ロホウ,*
圧排,*,*,*,名詞,一般,*,*,*,*,圧排,アッパイ,*
頸部,*,*,*,名詞,一般,*,*,*,*,頸部,ケイブ,*
アポクリン,*,*,*,名詞,一般,*,*,*,*,アポクリン,アプクリン,*
肺胞,*,*,*,名詞,一般,*,*,*,*,肺胞,ハイホウ,*
µm,*,*,*,名詞,一般,*,*,*,*,µm,マイクロメートル,*
μ,*,*,*,名詞,一般,*,*,*,*,μ,マイクロン,*
mm,*,*,*,名詞,一般,*,*,*,*,mm,ミリメートル,*
cm,*,*,*,名詞,一般,*,*,*,*,cm,センチメートル,*
腔内,*,*,*,名詞,一般,*,*,*,*,腔内,クウナイ,*
分裂像,*,*,*,名詞,一般,*,*,*,*,分裂像,ブンレツゾウ,*
核分裂像,*,*,*,名詞,一般,*,*,*,*,核分裂像,カクブンレツゾウ,*
掻爬,*,*,*,名詞,一般,*,*,*,*,掻爬,ソウハ,*
含気,*,*,*,名詞,一般,*,*,*,*,含気,ガンキ,*
クロット,*,*,*,名詞,一般,*,*,*,*,クロット,クロット,*
cell,*,*,*,名詞,一般,*,*,*,*,cell,セル,*
well,*,*,*,名詞,一般,*,*,*,*,well,ウェル,*
mod,*,*,*,名詞,一般,*,*,*,*,mod,モッド,*
por,*,*,*,名詞,一般,*,*,*,*,por,ポル,*
マクロファージ,*,*,*,名詞,一般,*,*,*,*,マクロファージ,マクロファージ,*
macrophage,*,*,*,名詞,一般,*,*,*,*,macrophage,マクロファージ,*
EGFR,*,*,*,名詞,固有名詞,一般,*,*,*,EGFR,イージーエフアール,*
MSH1,*,*,*,名詞,固有名詞,一般,*,*,*,MSH1,エムエスエイチワン,*
MSH6,*,*,*,名詞,固有名詞,一般,*,*,*,MSH6,エムエスエイチシックス,*
PMS2,*,*,*,名詞,固有名詞,一般,*,*,*,PMS2,ピーエムエスツー,*
MLH1,*,*,*,名詞,固有名詞,一般,*,*,*,MLH1,エムエルエイチワン,*
ISH,*,*,*,名詞,一般,*,*,*,*,ISH,インサイチュハイブリダイゼーション,*
ESD,*,*,*,名詞,一般,*,*,*,*,ESD,イーエスディー,*
EMR,*,*,*,名詞,一般,*,*,*,*,EMR,イーエムアール,*
ポリペクトミー,*,*,*,名詞,一般,*,*,*,*,ポリペクトミー,ポリペクトミー,*
polypectomy,*,*,*,名詞,一般,*,*,*,*,polypectomy,ポリペクトミー,*
マンモトーム,*,*,*,名詞,一般,*,*,*,*,マンモトーム,マンモトーム,*
巨核球,*,*,*,名詞,一般,*,*,*,*,巨核球,キョカクキュウ,*
アミロイド,*,*,*,名詞,一般,*,*,*,*,アミロイド,アミロイド,*
アミロイドーシス,*,*,*,名詞,一般,*,*,*,*,アミロイドーシス,アミロイドーシス,*
アポトーシス,*,*,*,名詞,一般,*,*,*,*,アポトーシス,アポトーシス,*
淡明細胞型,*,*,*,名詞,一般,*,*,*,*,淡明細胞型,タンメイサイボウガタ,*
腫瘍径,*,*,*,名詞,一般,*,*,*,*,腫瘍径,シュヨウケイ,*
浸潤径,*,*,*,名詞,一般,*,*,*,*,浸潤径,シンジュンケイ,*
巨細胞,*,*,*,名詞,一般,*,*,*,*,巨細胞,キョサイボウ,*
多核巨細胞,*,*,*,名詞,一般,*,*,*,*,多核巨細胞,タカクキョサイボウ,*
扁桃,*,*,*,名詞,一般,*,*,*,*,扁桃,ヘントウ,*
カルチノイド,*,*,*,名詞,一般,*,*,*,*,カルチノイド,カルチノイド,*
ギムザ,*,*,*,名詞,一般,*,*,*,*,ギムザ,ギムザ,*
ギムザ染色,*,*,*,名詞,一般,*,*,*,*,ギムザ染色,ギムザセンショク,*
大弯,*,*,*,名詞,一般,*,*,*,*,大弯,ダイワン,*
小弯,*,*,*,名詞,一般,*,*,*,*,小弯,ショウワン,*
偽メラノーシス,*,*,*,名詞,一般,*,*,*,*,偽メラノーシス,ギメラノーシス,*
メラノーシス,*,*,*,名詞,一般,*,*,*,*,メラノーシス,メラノーシス,*
腺窩上皮,*,*,*,名詞,一般,*,*,*,*,腺窩上皮,センカジョウヒ,*
tub1,*,*,*,名詞,一般,*,*,*,*,tub1,チュブイチ,*
tub2,*,*,*,名詞,一般,*,*,*,*,tub2,チュブニ,*
頸管腺,*,*,*,名詞,一般,*,*,*,*,頸管腺,ケイカンセン,*
ヘモジデリン,*,*,*,名詞,一般,*,*,*,*,ヘモジデリン,ヘモジデリン,*
前医,*,*,*,名詞,一般,*,*,*,*,前医,ゼンイ,*
間質,*,*,*,名詞,一般,*,*,*,*,間質,カンシツ,*
断端,*,*,*,名詞,一般,*,*,*,*,断端,ダンタン,*
異型,*,*,*,名詞,一般,*,*,*,*,異型,イケイ,*
腺癌,*,*,*,名詞,一般,*,*,*,*,腺癌,センガン,*
篩状,*,*,*,名詞,一般,*,*,*,*,篩状,シジョウ,*
胆管,*,*,*,名詞,一般,*,*,*,*,胆管,タンカン,*
乳管癌,*,*,*,名詞,一般,*,*,*,*,乳管癌,ニュウカンガン,*
乳管,*,*,*,名詞,一般,*,*,*,*,乳管,ニュウカン,*
生検,*,*,*,名詞,一般,*,*,*,*,生検,セイケン,*
縦隔,*,*,*,名詞,一般,*,*,*,*,縦隔,ジュウカク,*
核小体,*,*,*,名詞,一般,*,*,*,*,核小体,カクショウタイ,*
__SPACE__,*,*,*,固有名詞,一般,*,*,*,*,__SPACE__,スペース,*
SPACE,*,*,*,固有名詞,一般,*,*,*,*,SPACE,スペース,*
内視鏡,*,*,*,名詞,一般,*,*,*,*,内視鏡,ナイシキョウ,*
後壁,*,*,*,名詞,一般,*,*,*,*,後壁,コウヘキ,*
組織学,*,*,*,名詞,一般,*,*,*,*,組織学,ソシキガク,*
筋層,*,*,*,名詞,一般,*,*,*,*,筋層,キンソウ,*
近位,*,*,*,名詞,一般,*,*,*,*,近位,キンイ,*
遠位,*,*,*,名詞,一般,*,*,*,*,遠位,エンイ,*
リンパ節,*,*,*,名詞,一般,*,*,*,*,リンパ節,リンパセツ,*
高分化,*,*,*,名詞,一般,*,*,*,*,高分化,コウブンカ,*
中分化,*,*,*,名詞,一般,*,*,*,*,中分化,チュウブンカ,*
低分化,*,*,*,名詞,一般,*,*,*,*,低分化,テイブンカ,*
分枝,*,*,*,名詞,一般,*,*,*,*,分枝,ブンシ,*
腺管,*,*,*,名詞,一般,*,*,*,*,腺管,センカン,*
腫大,*,*,*,名詞,一般,*,*,*,*,腫大,シュダイ,*
固有層,*,*,*,名詞,一般,*,*,*,*,固有層,コユウソウ,*
顎下,*,*,*,名詞,一般,*,*,*,*,顎下,ガクカ,*
顎下腺,*,*,*,名詞,一般,*,*,*,*,顎下腺,ガクカセン,*
増生,*,*,*,名詞,一般,*,*,*,*,増生,ゾウセイ,*
他院,*,*,*,名詞,一般,*,*,*,*,他院,タイン,*
当院,*,*,*,名詞,一般,*,*,*,*,当院,トウイン,*
索状,*,*,*,名詞,一般,*,*,*,*,索状,サクジョウ,*
腺腔,*,*,*,名詞,一般,*,*,*,*,腺腔,センクウ,*
尿路,*,*,*,名詞,一般,*,*,*,*,尿路,ニョウロ,*
淡明,*,*,*,名詞,一般,*,*,*,*,淡明,タンメイ,*
減弱,*,*,*,名詞,一般,*,*,*,*,減弱,ゲンジャク,*
腫瘤,*,*,*,名詞,一般,*,*,*,*,腫瘤,シュリュウ,*
好酸性,*,*,*,名詞,一般,*,*,*,*,好酸性,コウサンセイ,*
好塩基性,*,*,*,名詞,一般,*,*,*,*,好塩基性,コウエンキセイ,*
未染,*,*,*,名詞,一般,*,*,*,*,未染,ミセン,*
脈管,*,*,*,名詞,一般,*,*,*,*,脈管,ミャッカン,*
産生,*,*,*,名詞,一般,*,*,*,*,産生,サンセイ,*
膿染,*,*,*,名詞,一般,*,*,*,*,膿染,ノウセン,*
胃底腺,*,*,*,名詞,一般,*,*,*,*,胃底腺,イテイセン,*
中等度,*,*,*,名詞,一般,*,*,*,*,中等度,チュウトウド,*
薄切,*,*,*,名詞,一般,*,*,*,*,薄切,ハクセツ,*
集塊,*,*,*,名詞,一般,*,*,*,*,集塊,シュウカイ,*
粘膜筋板,*,*,*,名詞,一般,*,*,*,*,粘膜筋板,ネンマクキンバン,*
粘膜下層,*,*,*,名詞,一般,*,*,*,*,粘膜下層,ネンマクカソウ,*
粘膜固有層,*,*,*,名詞,一般,*,*,*,*,粘膜固有層,ネンマクコユウソウ,*
過形成,*,*,*,名詞,一般,*,*,*,*,過形成,カケイセイ,*
低形成,*,*,*,名詞,一般,*,*,*,*,低形成,テイケイセイ,*
二相性,*,*,*,名詞,一般,*,*,*,*,二相性,ニソウセイ,*
結合織,*,*,*,名詞,一般,*,*,*,*,結合織,ケツゴウシキ,*
脂肪織,*,*,*,名詞,一般,*,*,*,*,脂肪織,シボウシキ,*
膵頭,*,*,*,名詞,一般,*,*,*,*,膵頭,スイトウ,*
膵体,*,*,*,名詞,一般,*,*,*,*,膵体,スイタイ,*
膵尾,*,*,*,名詞,一般,*,*,*,*,膵尾,スイビ,*
膵鉤,*,*,*,名詞,一般,*,*,*,*,膵鉤,スイコウ,*
主座,*,*,*,名詞,一般,*,*,*,*,主座,シュザ,*
首座,*,*,*,名詞,一般,*,*,*,*,首座,シュザ,*
リンパ球,*,*,*,名詞,一般,*,*,*,*,リンパ球,リンパキュウ,*
リンパ管,*,*,*,名詞,一般,*,*,*,*,リンパ管,リンパカン,*
組織級,*,*,*,名詞,一般,*,*,*,*,組織級,ソシキキュウ,*
付属器,*,*,*,名詞,一般,*,*,*,*,付属器,フゾクキ,*
菌状息肉症,*,*,*,名詞,一般,*,*,*,*,菌状息肉症,キンジョウソクニクショウ,*
中皮,*,*,*,名詞,一般,*,*,*,*,中皮,チュウヒ,*
横紋筋,*,*,*,名詞,一般,*,*,*,*,横紋筋,オウモンキン,*
平滑筋,*,*,*,名詞,一般,*,*,*,*,平滑筋,ヘイカツキン,*
心筋,*,*,*,名詞,一般,*,*,*,*,心筋,シンキン,*
炭粉,*,*,*,名詞,一般,*,*,*,*,炭粉,タンプン,*
辺縁,*,*,*,名詞,一般,*,*,*,*,辺縁,ヘンエン,*
全割,*,*,*,名詞,一般,*,*,*,*,全割,ゼンカツ,*
半割,*,*,*,名詞,一般,*,*,*,*,半割,ハンカツ,*
割面,*,*,*,名詞,一般,*,*,*,*,割面,カツメン,*
嚢胞,*,*,*,名詞,一般,*,*,*,*,嚢胞,ノウホウ,*
膿胞,*,*,*,名詞,一般,*,*,*,*,膿胞,ノウホウ,*
肉芽腫,*,*,*,名詞,一般,*,*,*,*,肉芽腫,ニクゲシュ,*
細胞質,*,*,*,名詞,一般,*,*,*,*,細胞質,サイボウシツ,*
暗調,*,*,*,名詞,一般,*,*,*,*,暗調,アンチョウ,*
門脈,*,*,*,名詞,一般,*,*,*,*,門脈,モンミャク,*
赤芽球,*,*,*,名詞,一般,*,*,*,*,赤芽球,セキガキュウ,*
芽球,*,*,*,名詞,一般,*,*,*,*,芽球,ガキュウ,*
脂肪髄,*,*,*,名詞,一般,*,*,*,*,脂肪髄,シボウズイ,*
腺窩,*,*,*,名詞,一般,*,*,*,*,腺窩,センカ,*
陰窩,*,*,*,名詞,一般,*,*,*,*,陰窩,インカ,*
以深,*,*,*,名詞,一般,*,*,*,*,以深,イシン,*
郭清,*,*,*,名詞,一般,*,*,*,*,郭清,カクセイ,*
術前,*,*,*,名詞,一般,*,*,*,*,術前,ジュツゼン,*
術後,*,*,*,名詞,一般,*,*,*,*,術後,ジュツゴ,*
上葉,*,*,*,名詞,一般,*,*,*,*,上葉,ジョウヨウ,*
中葉,*,*,*,名詞,一般,*,*,*,*,中葉,チュウヨウ,*
下葉,*,*,*,名詞,一般,*,*,*,*,下葉,カヨウ,*
孤在,*,*,*,名詞,一般,*,*,*,*,孤在,コザイ,*
印環,*,*,*,名詞,一般,*,*,*,*,印環,インカン,*
筋上皮,*,*,*,名詞,一般,*,*,*,*,筋上皮,キンジョウヒ,*
乳管,*,*,*,名詞,一般,*,*,*,*,乳管,ニュウカン,*
裂隙,*,*,*,名詞,一般,*,*,*,*,裂隙,レツゲキ,*
胆嚢,*,*,*,名詞,一般,*,*,*,*,胆嚢,タンノウ,*
精嚢,*,*,*,名詞,一般,*,*,*,*,精嚢,セイノウ,*
輸精管,*,*,*,名詞,一般,*,*,*,*,輸精管,ユセイカン,*
セルブロック,*,*,*,名詞,一般,*,*,*,*,セルブロック,セルブロック,*
核溝,*,*,*,名詞,一般,*,*,*,*,核溝,カクコウ,*
封入体,*,*,*,名詞,一般,*,*,*,*,封入体,フウニュウタイ,*
消化器,*,*,*,名詞,一般,*,*,*,*,消化器,ショウカキ,*
肝細胞,*,*,*,名詞,一般,*,*,*,*,肝細胞,カンサイボウ,*
簇出,*,*,*,名詞,一般,*,*,*,*,簇出,ソウシュツ,*
鍍銀,*,*,*,名詞,一般,*,*,*,*,鍍銀,トギン,*
嚢腫,*,*,*,名詞,一般,*,*,*,*,嚢腫,ノウシュ,*
見做す,*,*,*,動詞,自立,*,*,五段・サ行,基本形,見做す,ミナス,ミナス
見做された,*,*,*,動詞,自立,*,*,五段・サ行,連用タ接続,見做す,ミナサレタ,ミナサレタ
胃体,*,*,*,名詞,一般,*,*,*,*,胃体,イタイ,*
深達度,*,*,*,名詞,一般,*,*,*,*,深達度,シンタツド,*
壁在性,*,*,*,名詞,一般,*,*,*,*,壁在性,ヘキザイセイ,*
飲酒歴,*,*,*,名詞,一般,*,*,*,*,飲酒歴,インシュレキ,*
喫煙歴,*,*,*,名詞,一般,*,*,*,*,喫煙歴,キツエンレキ,*
淡染帯,*,*,*,名詞,一般,*,*,*,*,淡染帯,タンセンタイ,*
遷延する,*,*,*,動詞,自立,*,*,五段・サ行,基本形,遷延する,センエンスル,センエンスル
口腔,*,*,*,名詞,一般,*,*,*,*,口腔,コウクウ,*
口側,*,*,*,名詞,一般,*,*,*,*,口側,クチソク,*
肛門側,*,*,*,名詞,一般,*,*,*,*,肛門側,コウモンソク,*
